_id,_name,_region,_time,_text,_followers,_reposts,_comments,_likes
7617793184,UnBouquetDeSoleils,河北,02/09/2024,不觉得有任何可以玩笑的点中国首位女航天员刘洋采访被问“您可不可以聊一聊您背后的男人，他是什么样的人呢？”电影采访中男演员可以被提问专业相关问题但是留给女演员的总是“您是如何平衡好家庭与工作的？”为中国拿下历史第一枚混双金牌、拿下两金一银成为中国队奖牌榜第一、闭幕式担当亚洲代表的孙颖莎要被记者提问“你是怎么安慰鼓励你的混双搭档的？”然后还要被观众起哄、被主持人故意解读调侃女性不是职场背景板，她们不是身边男同事男搭档的附庸，她们应该被看见被尊重，值得更专业的提问，请聚光灯专注女性本身！关于男同事的相关问题，孙颖莎早已回答：“我还要准备下一场比赛。”,7.8万,191,151,4373
2803301701,人民日报,Unknown,01/09/2024,【收藏！】继续发布奥运会运动员荣耀心声海报。这是↓↓：“体育能够增强体魄、磨练心智，是一个人成长中非常重要的一环。”：“球没有落地，不会放弃每一分。”：“有收获也有遗憾，将带着目标向下个周期发起冲击。”：“终点不一定是成功，但过程一定要拼命。”：“我成功了！中国男子举重第一次在奥运会大级别中拿到冠军！”更多↓↓为他们加油！,1.54亿,549,844,27382
7621889667,头头真棒啊,广东,02/09/2024,20240902澳门社区行一点记录,24.4万,53,27,333
3584398332,红枣泡枸杞我是小仙女,天津,02/09/2024,不要再拉低女运动员格局，孙颖莎只是尴尬大家看不出来吗？cpf能不能放过孙颖莎,13.8万,2,3,464
7443904883,四个字俩点,广东,02/09/2024,你说谁慌张？？,3.3万,7,8,593
6344488668,亲一口鲨鲨,海南,02/09/2024,孙颖莎自己发文澄清被说不是本人写的，身边朋友教练澄清被开除朋友籍，怎么这么吓人和传xiao一样究竟背后是谁在谋划引导,6.4万,2,16,392
2632236847,香港文匯網,Unknown,31/08/2024,欢迎再来香港呀,204.5万,113,127,11252
6778288636,Sunnys西瓜,江苏,02/09/2024,孙颖莎杭州亚运会开幕式宣誓代表，巴黎奥运会闭幕式亚洲代表这两大场面都见过的人，你跟我说她慌张闹着玩儿呢，那是抗拒，无语➕无奈吧,9万,8,19,324
1629359974,二火山,北京,01/09/2024,本来昨天刷了一天奥运健儿访港挺开心的，一早上醒来又被粉圈给整恶心了，我们艺术体操的王澜静和丁欣怡小妹妹因为和王楚钦合了张影，就被莎头粉骂人家爱蹭、有心机，看人女生漂亮怕威胁到自家的CP，各种猜测泼脏水，搞得两个人都清空了自己的小红书账号…,205.2万,97,304,3050
5597194563,呱娱,河北,02/09/2024,郑思维的吃播却暴露了莎头的对话内容，王楚钦很幸福啊，吃海鲜过敏被好搭档孙颖莎时刻惦记着。但是怎么觉得大头不满意搭档两个字啊！来吧，头哥，展开说说，你跟莎宝啥关系啊！我们好想知道啊,31.1万,38,30,308
7827519312,元宝团子好杮朵朵,广东,31/08/2024,视频有点长但都是干货 🤝 cr.见水印 向全世界安利 #没见过系列,14.1万,107,65,2000
5765103925,左右眼最遥远,江苏,01/09/2024,陈梦王楚钦什么时候官宣，搭档和对手是一对下水道夫妻，我们小莎的职场环境不是一般恶劣啊,177,1,80,415
6633875713,頭号粉丝Zzzz,四川,02/09/2024,你快乐所以我也快乐🥰,5.3万,4,1,96
6478526806,体界风云,四川,01/09/2024,返校看到的，就说学校你也太会了，我喜欢，这样也可以让更多的孩子了解运动员，激励孩子们 全红婵 马龙 盛李豪 黄雨婷 潘展乐 孙颖莎王楚钦,76.3万,5,12,142
6326673477,触碰过锦鲤,山西,01/09/2024,哥哥姐姐宠娃都不示弱😄赶紧站起来给妹妹打气拍视频！王楚钦 孙颖莎 莎头组合,16.7万,31,12,2875
5325629112,翠门毒球,江苏,01/09/2024,小朋友总是天生会亲近能给予安全感的人或者事物呢 小妹妹们喜欢粘着楚钦哥哥 当然是因为他人好又帅 宠着小妹妹们咯 单说他欠是不是以偏概全了？？？,6.4万,29,30,1476
3202217467,谢谢你的笑声,广东,01/09/2024,下午逛景区了！头子和雅琼姐取经那嘛？洛杉矶会不会多一钻？王楚钦孙颖莎 莎头,37.4万,51,13,1530
